tweet_id,label
'308488170838831104',1
'955724773216129024',0
'954792171521048576',0
'363321598431862784',1
'939204686632103936',0
'319103357581131778',1
'955331061705265153',0
'208834065523146752',0
'354648870707400704',0
'220968008800141312',1
'953978937402691584',0
'298222779285778432',1
'955417091871531008',0
'376450592266547200',0
'210880650151079936',1
'369569578466025472',1
'259239061817028608',0
'341076795623362560',1
'225957590222376960',1
'955947934964699141',0
'157415616079331329',1
'955885279667212293',0
'369577642628243456',1
'342208645586620416',1
'955548795911180295',0
'302068033038458880',1
'315896166040621057',1
'327143475827052544',1
'291595747139403776',1
'284410222989172736',1
'953991903430705152',1
'213569768102445056',1
'955753586998349824',0
'953924927391870976',0
'955417713911922688',0
'371621655002349570',1
'954662300882894848',0
'330288759826415616',1
'954182836474515456',0
'353432363990134786',1
'350226603856494592',1
'953239300551962624',0
'321745924667887616',1
'367764547765301248',0
'953977528598827009',0
'361915729223749633',1
'317601084883484672',1
'368659452422938624',0
'205314432241377281',0
'955424416128815104',0
'954348083764191234',0
'330832823470653440',1
'955893203617513472',0
'953033841043787777',0
'346009439393943552',1
'350578315314216960',1
'351121119174078464',1
'226450962582208512',1
'953978572590518272',1
'352196836028727296',1
'312344288224755713',1
'366983304458670080',1
'296385159987597312',1
'280383828521017344',1
'345641354694635522',1
'376811630115692545',0
'222128072617496576',1
'953981331939168256',0
'955447081577123840',0
'946805661840572416',0
'209206845628350464',1
'955430379766267905',0
'953998679035338753',0
'955256312140632064',0
'337303226187649024',1
'955063407484526592',0
'335068367838928896',1
'203774633365864448',0
'954641198710509568',0
'180437429172441088',1
'955888894737821697',0
'209365992629993473',0
'266266209585094656',1
'954577980239503360',0
'282244952547811328',1
'953978487521665024',0
'254229678359982081',1
'954993861931171840',0
'954470055831621633',0
'200657826081800192',1
'374503713026895872',0
'295106679253630976',1
'953961512519036928',0
'953745837229772800',0
'314574477235204096',1
'238678153659293697',1
'152445923878907904',1
'219224231509102592',1
'295818303610433536',1
'306373662917939202',1
'955408678378790912',0
'346420886963884032',1
'956098669962563585',0
'316261281126547456',1
'291510244121669633',1
'955411932252655616',0
'955407845146726402',0
'329354631882895361',1
'954654483228889088',0
'352196542708457472',1
'352541068765564928',1
'299126397643923456',1
'955030626599690240',0
'953916684959698944',1
'178514913046700036',1
'305838856538845186',1
'218257064483500032',1
'213420094515200001',1
'955965037725847552',0
'341535184644079616',1
'291242412674801666',1
'298731511983775745',1
'949384365192163330',0
'298940194793586689',1
'276826916164628481',1
'367391218344660992',0
'955926135157731335',0
'955398006785892352',0
'320447389183901697',1
'274255233889226753',1
'953272274781696000',0
'330536770850672640',1
'349983833782890497',1
'944429343715053569',0
'955438026989232128',0
'953843421285842944',0
'311510672137678848',1
'953949377223110656',0
'312780506209075200',1
'947715246902448128',0
'352392408329224192',1
'291298052331958274',1
'955909537218879490',0
'251051144112128000',1
'369371459455442945',1
'955938049002700800',0
'949521861808939008',1
'954894966492487680',1
