tweet_id,label
'568617549086240768',1
'954338427813720064',0
'248038472928088064',1
'319702713862606848',1
'953528705791471616',0
'953754308549468165',0
'952089983745183744',0
'245785962301505536',1
'955868934422585344',0
'177416636138143744',0
'217685782222209024',1
'269672637029036032',1
'947973229393694720',0
'287860181457588224',0
'352829362875285504',1
'955872224992428032',1
'953981331939168256',0
'951237585753403392',0
'955891312238227459',0
'955406014815375360',0
'502024955790233600',1
'578452676649869312',1
'303813169867005952',1
'276307907027533825',1
'369436675857854466',1
'626315005298872320',1
'492816082772971520',1
'953165819365806080',0
'955998017026437122',1
'248038472928088064',1
'948492009534296065',0
'330288759826415616',1
'441314407407034368',1
'276785848450678784',1
'954857786436964352',0
'945283481080344576',0
'284949309747757057',1
'955410783105699841',1
'953960149181333505',0
'315957643283951616',1
'403704802665709569',1
'281751539067006976',1
'456100421082546176',1
'953973407158358021',0
'108669372398186496',1
'415088791687163904',1
'352908016468762624',1
'955887891242156032',0
'308305855181357056',1
'955097745445961728',0
'946916596890685440',0
'953974612177702912',0
'599541077050204160',1
'950444361388642304',0
'450787841241776128',1
'953976236212215808',0
'409050360717017088',1
'499302958857990145',1
'761800269772496897',1
'955321348661923840',0
'564437276483411968',1
'352475925876719617',1
'289363438856200192',1
'422403052834783232',1
'955118638490685440',0
'951775415672168448',0
'216923820550914048',1
'851896181768769539',1
'955881210911354880',0
'336981672786554881',1
'373896614189883392',1
'317639408318836737',1
'554008453656887296',1
'349992661681311744',1
'517002141052182529',1
'243281837894557697',1
'195927747695087616',0
'347784587302281216',1
'953482974762274821',0
'294956320761729025',1
'367632581917147136',1
'357673029377069056',1
'389147227719233536',1
'955927058311532545',1
'953975445116121089',0
'953950758231314432',0
'955811581639692288',0
'953989530075435008',0
'951375286330974208',0
'955875324889219072',0
'955420028941332481',0
'948820365454856192',0
'952986674513920000',0
'938490880939515905',1
'945736319963140096',0
'955387714416750592',0
'953252283780825088',0
'952153494101942272',0
'954528964592242688',0
'955928509410611203',0
'953651356757299201',0
'955879843035516933',0
'564135393667596288',1
'953971787095859205',0
'956097260907061248',0
'281790710863257602',1
'305252660725026817',1
'295586142726799360',1
'952583402976247808',0
'954816288102277123',0
'952227607545827328',0
'362431664120532992',1
'952330446683197442',0
'954494954281361408',0
'396621942968446977',1
'953983770062966784',1
'948548616091783170',0
'953794066143039488',0
'350975392527548418',1
'313434656731176960',1
'951916960807292929',0
'849015909050134529',1
'955814031415218186',0
'955581490796154880',0
'157694964220952576',1
'449161847896555521',1
'950505082465943552',0
'953969352180682752',0
'259642172494712833',1
'345624525389590528',1
'949705514329493504',0
'394184047297306624',1
'359074757355896832',1
'953784881099788289',0
'949662394191663105',0
'949546362068185088',0
'373058055875072000',1
'364507105728139264',1
'955330502331977728',0
'532738407320264704',1
'318815598509428739',1
'358766394126516225',0
'948453637197529088',1
'939164176538308610',0
'232595765703344128',1
'955203239514918919',0
'953970823186042880',0
'369145247273476096',1
'376195626205474817',1
'390720198455881728',1
'940884094677913600',0
'508281129934553088',1
'520251668865515520',1
'939452487806877696',1
'955824487274110977',0
'953831722986196992',0
'953973006468026369',1
'955881109501472770',0
'953931115978518528',0
'955764540909801472',0
'955408788550569985',0
'251989961258172416',1
'369574933409443840',1
'201819360489254912',1
'225763807149056000',1
'305252660725026817',1
'561871845365141504',1
'955544779256926209',0
'952484474717179906',0
'364134415070273537',0
'341837998008172544',1
'300511738053406721',1
'178424170818969600',0
'955768087596490752',0
'952462179269267456',0
'266868079496146944',1
'702267926183804928',1
'954590929045909504',0
'529725888091652099',1
'955631363247439872',0
'954823817108566016',0
'953630079732584448',0
'249232278499254272',1
'941741222804250624',1
'167853341001523201',1
'368136417316048896',0
'955407453495074817',0
'303309953861558272',1
'529526569329377280',1
'955869698524090369',0
'352134015769264129',1
'448021051537358848',1
'208841024641056768',1
'956089482360573952',0
'952657959208800256',0
'508292658675351552',1
'955900013292421122',0
'953736945401847808',0
'353275234486456320',1
'203586542667706368',1
'304238984513609729',1
'865494861608140801',1
'359050275731935232',1
'953797141033639946',1
'393838922532671488',1
'764289038677340162',1
'332048205653086209',1
'215399004048080896',1
'288009585829220352',1
'220647657830494209',1
'955414032193933313',0
'270324206246428672',1
'949313294673809409',0
'954821170301427712',0
'209752621957906433',1
'791905438044459008',1
'949817476010954753',0
'329292595928891393',1
'357597892237725696',1
'542418223757398017',1
'954435072513454082',1
'378280715609452544',1
'299327567486410752',1
'954137841570926599',0
'955430902158577665',0
'953975652226564096',0
'336206622496026625',1
'498070583628660736',1
'238707761091850240',1
'953984211773468673',0
'233976959498088448',1
'338275166415118337',1
'373945826324013057',1
'949084522552971264',0
'249599094882967553',1
'955409725360918528',0
'955968514002579456',1
'445299207348699136',1
'953883310689792000',0
'353124910018736130',1
'431900840303919104',1
'272263903235424256',1
'180705873436483584',1
'953045033506299904',0
'952840889092669440',0
'388787719263907841',1
'953970800499085313',0
'953741004259160067',0
'952246979152793601',0
'954896194039418880',0
'955405863971426304',0
'428239822814064640',1
'323799550433300481',1
'955887429864640513',0
'952271590561021953',0
'906438562178007041',1
'236886763250003968',1
'955917359700684801',0
'945356854397423619',0
'955765990717120517',0
'305032197218369536',1
'345292687303385090',1
'944246124147339264',1
'513358740473405442',1
'953973768937975808',0
'950492617254547462',0
'249232278499254272',1
'947511307460337664',0
'385655372314603520',1
'346382022769508354',1
'376195626205474817',1
'955401239738667008',0
'272742410147229696',1
'244153360075354112',0
'277175836728254464',1
'955843437886148608',0
'954424502867447808',0
'953893901471043585',0
'184427719667359744',1
'442066072184033280',1
'788208997631393792',1
'614423146989535232',1
'955844299169632257',0
'358083677881774080',0
'738763480103161857',1
'208850103551787009',1
'461372708178378753',1
'953760122274279430',0
'954507302048092160',0
'266085217276669953',1
'415100881177047041',1
'370167494805172224',0
'954511626736226305',0
'345686589021757440',1
'951212555225174018',1
'953917601247383553',0
'427085142193348608',1
'955097548032798720',0
'302530732704804865',0
'353542757295472642',1
'295571902729162752',0
'361682726396502017',1
'954587472989769728',0
'955889239719366656',0
'606073378991161344',1
'137474619488731136',1
'945815936250073088',0
'564762181271830528',1
'947569899664236544',0
'955711299488448512',0
'590421841421979648',1
'953676717167730689',0
'955142101322387459',0
'306699424795615232',1
'353610851556659200',1
'953950305561006080',0
'941337439649632256',0
'304391416606490626',1
'208851448837058560',1
'954869113129709569',1
'292716376911654912',1
'955267388873871360',0
'205359827034181633',1
'952641761226223616',0
'955893906918592512',0
'273028080015126528',1
'954382195803738117',0
'255269754678439936',1
'245786326656483328',1
'331747822942699522',1
'325209202731646976',1
'955411133107666944',0
'955898277140094978',0
'208846727048986624',1
'245786326656483328',1
'952071855791312896',0
'468883311289712640',1
'468123164565045249',1
'364454186785587201',1
'525669550361419777',1
'364491297014710272',1
'953359466610790401',0
'604372398226317312',1
'340528234594709504',1
'318319659503996928',1
'326871460817797121',1
'951404806207426560',0
'109212464826167296',1
'358080687510794240',0
'137032253975969792',1
'470329027719626752',1
'951004790393376768',0
'227866730104492033',1
'339621018068983809',1
'954811997618663424',0
'955420654521733122',0
'521841319896166400',1
'274255516048449536',1
'952261489100034048',0
'955341925569134593',0
'955580925915664384',0
'948561491489443842',0
'219045919868456960',1
'956102365664362496',0
'953998025915097089',0
'718141312311173122',1
'955576250751430656',0
'955875374923177985',0
'272108032278802432',1
'954059246315991042',0
'387131440791846912',1
'270583716676509696',1
'954289898709663744',0
'217966475556831233',1
'955762366494494721',0
'467773958532923392',1
'352828316199301124',1
'285151324520210432',1
'453725735556222976',1
'955035582945689603',0
'344177765404270592',1
'116226691562610689',0
'161069518809079808',1
'283982801915748352',1
'346741198427402241',1
'350010608025993217',1
'344172631618121728',1
'943085389371322368',0
'318756714017071104',1
'951366832782561280',0
'772739669775773696',1
'300380053286551553',1
'953744541227593728',0
'315930517772062721',1
'954335805232832512',0
'730362055346270208',1
'320863233344950272',1
'429175124391366656',1
'208857839916154881',1
'953988884819529730',1
'207124319178997760',1
'955009263872675841',0
'955073967563427840',0
'946127048808042497',0
'349990031429074944',0
'317601084883484672',1
'382621016050384896',1
'955357688187310080',0
'954131644444741632',0
'955641268880793600',0
'352592820936261632',1
'955492644037255168',0
'276825101255704576',1
'276825101255704576',1
'954577980239503360',0
'555694802751471616',1
'953665908094001152',0
'696701031468638208',1
'401493832803815424',1
'218008641167572993',1
'359770732663808001',1
'305784798889246720',1
'353565565551517696',1
'953978722272600064',0
'949129934609543169',0
'953954936693444613',0
'954375845568761856',0
'945578480674189313',0
'206107693679771649',1
'369901547951783936',1
'367644551327932418',1
'953535073588076552',0
'471821672103051264',1
'276019667238281216',1
'284070515289763840',1
'953776698507571200',0
'955925686212022275',0
'955906794542583808',0
'207450725071073280',1
'564434051076198401',1
'953457624384667648',1
'436577808094339072',1
'952212875115773952',0
'955044227360133121',0
'953828864878358528',0
'953970332272156672',0
'303492098148163584',1
'953988843249852418',0
'950305386736832512',1
'955563723707551745',1
'734509624255229953',1
'955928294821629955',0
'217384104335912960',1
'274255516048449536',0
'316569584155111424',1
'955441542730313728',0
'953671296264671232',0
'256869153623928833',1
'886502955226189824',1
'362189780743761921',0
'313877618518806528',1
'430704307801841664',1
'954367669163130880',0
'939585298555482112',0
'953755366394908672',0
'956010053013852161',0
'341797972893392896',1
'955938069483581442',0
'275302570673729536',0
'373809494855520256',1
'662719705623347200',1
'955413232591753216',0
'953899563982696448',0
'357597892237725696',1
'775410681357164544',1
'955118245475954688',0
'945597588404887552',0
'954346766283018246',0
'955462472709869568',0
'955496442226991104',0
'215414283641692160',1
'355670014394769408',0
'343647633585352704',1
'217383401949364224',1
'338086171869605888',1
'953919675594919936',0
'320274670857355264',1
'352767060411031553',1
'907144587944370176',1
'955425815994535936',0
'954359289438666754',0
'166153601037766656',1
'212529879080632320',1
'953914974094716930',0
'791985568934666240',1
'953578020400398336',0
'351667314791424000',1
'953756825144430594',0
'881304977679015936',1
'948749707521744897',1
'346326859908272130',1
'359329517707337728',1
'442014748599910400',1
'277144685741481984',1
'955256312140632064',0
'363128498367774720',1
'767345568188338176',1
'950730258340302850',0
'298435254673350656',1
'222064075566358529',1
'953975789762080769',0
'955584487215325184',0
'953989437024817153',0
'953983039847182337',0
'955679785795104768',0
'567018395049021441',1
'952471042722758656',1
'955140577821118464',1
'200701016138715136',1
'232846402580013056',0
'590454753311600640',1
'939426719165042688',0
'705524052815945728',1
'956036091739557889',0
'214030482445303809',1
'208842914611204096',0
'273557750385102848',1
'953827091119857664',0
'320318778518937600',1
'948639349511475201',0
'954714668626563072',0
'241659869822865410',1
'352866955251826688',1
'954713822849155074',0
'953820223718789121',0
'955925678049947650',0
'950137495328645122',0
'418888926016061440',1
'282244952547811328',1
'953935961678843904',0
'474268395504816128',1
'321191522756345856',1
'387101476369072128',1
'642089423534956544',1
'955930438358446080',0
'224835912134168576',1
'317314478557503489',1
'599238406678384640',1
'303849853929267201',1
'955572919329067008',0
'205315140990668802',1
'944740748553015296',0
'350753431461429251',1
'234440615893532672',1
'955517913880023041',0
'953876010205933568',0
'220130601284546560',1
'955572691897069568',0
'341994224100724736',1
'613839005122195456',1
'955442080356159489',0
'336811171145461761',1
'431891510532247552',1
'954790316393029633',0
'348385215619678208',1
'352560934662848512',1
'514836457836789760',1
'952236139674587139',0
'232595765703344128',1
'953973848717881346',0
'373872847464038400',1
'945852412304265216',0
'280383828521017344',1
'353594587966742529',1
'385308494876147712',1
'953745169500770305',0
'355140938517053440',1
'301883466084122624',0
'944250512626606080',0
'955916929717370881',0
'432549629390241793',1
'570446911867453440',1
'383745820228476928',1
